actor	bday
Harriet Harris	1955-01-08T00:00:00
Harriet Walter	1950-09-24T00:00:00
Harry Andrews	1911-11-10T00:00:00
Harry Groener	1951-09-10T00:00:00
Harry J. Lennix	1964-11-16T00:00:00
Haruhiko Joh	person not found on wiki
Hazel Penwarden	person not found on wiki
Hazel Terry	1918-01-23T00:00:00
Hb Irving	person not found on wiki
Helen Carey	1944-01-13T00:00:00
Helen Chandler	1906-02-01T00:00:00
Helen Cherry	1915-11-24T00:00:00
Helen Clapp	person not found on wiki
Helen Craig	1912-05-13T00:00:00
Helen Hawthorne	person not found on wiki
Helen McCrory	1968-08-17T00:00:00
Helen Mccrory	person not found on wiki
Helen Menken	1901-12-12T00:00:00
Helen Mirren	1945-07-26T00:00:00
Helen Schlesinger	1967-01-01T00:00:00
Helen Sheals	person not found on wiki
Helen Taylor	1964-04-28T00:00:00
Henry Ainley	1879-08-21T00:00:00
Henry B Irving	person not found on wiki
Henry Baynton	1892-09-23T00:00:00
Henry Goodman	1950-04-23T00:00:00
Henry Herbert	1947-02-20T00:00:00
Henry Irving	1838-02-06T00:00:00
Henry Ludlowe	person not found on wiki
Henry Proffit	person not found on wiki
Herbert Beerbohm Tree	1852-12-17T00:00:00
Herbert Grimwood	person not found on wiki
Hermann Vezin	1829-03-02T00:00:00
Hermione Gulliford	1973-01-01T00:00:00
Hila Feldman	1979-06-10T00:00:00
Hilary Lyon	person not found on wiki
Hilary Maclean	person not found on wiki
Hilton Mcrae	1949-12-28T00:00:00
Howard Rollins	1950-10-17T00:00:00
Howard Southern	person not found on wiki
Hugh Quarshie	1954-12-22T00:00:00
Hume Cronyn	1911-07-18T00:00:00
Hutin Britton	1876-04-24T00:00:00
Hywel Bennett	1944-04-08T00:00:00
Hywell Bennett	person not found on wiki
Iain Glen	1961-06-24T00:00:00
Ian Bannen	1928-06-29T00:00:00
Ian Barritt	1944-01-01T00:00:00
Ian Bartholomew	1954-08-23T00:00:00
Ian Hogg	1937-08-01T00:00:00
Ian Holm	1931-09-12T00:00:00
Ian Keith	1899-02-27T00:00:00
Ian Lake	1983-01-01T00:00:00
Ian Maclaren	1875-05-01T00:00:00
Ian Mcdiarmid	1944-08-11T00:00:00
Ian Mckellen	1939-05-25T00:00:00
Ian Merrill Peakes	1969-01-01T00:00:00
Ian Pepperell	1970-01-01T00:00:00
Ian Richardson	1934-04-07T00:00:00
Imogen Stubbs	1961-02-20T00:00:00
